question,image,option1,option2,option3,option4,answer
Here is the dumy technical question 1,,here1,here2,here3,here4,option2
Here is the dumy technical question 2,,here2,here3,here4,here5,option3
Here is the dumy technical question 3,,here3,here4,here5,here6,option4
Here is the dumy technical question 4,,here4,here5,here6,here7,option1
Here is the dumy technical question 5,,here5,here6,here7,here8,option2
Here is the dumy technical question 6,,here6,here7,here8,here9,option2
Here is the dumy technical question 7,,here7,here8,here9,here10,option2
Here is the dumy technical question 8,,here8,here9,here10,here11,option2
Here is the dumy technical question 9,,here9,here10,here11,here12,option2
Here is the dumy technical question 10,,here10,here11,here12,here13,option2
Here is the dumy technical question 11,,here11,here12,here13,here14,option2
Here is the dumy technical question 12,,here12,here13,here14,here15,option2
Here is the dumy technical question 13,,here13,here14,here15,here16,option2
Here is the dumy technical question 14,,here14,here15,here16,here17,option2
Here is the dumy technical question 15,,here15,here16,here17,here18,option2
Here is the dumy technical question 16,,here16,here17,here18,here19,option2
Here is the dumy technical question 17,,here17,here18,here19,here20,option2
Here is the dumy technical question 18,,here18,here19,here20,here21,option2
Here is the dumy technical question 19,,here19,here20,here21,here22,option2
Here is the dumy technical question 20,,here20,here21,here22,here23,option2
Here is the dumy technical question 21,,here21,here22,here23,here24,option2
Here is the dumy technical question 22,,here22,here23,here24,here25,option2
Here is the dumy technical question 23,,here23,here24,here25,here26,option2
